time_s,template_normalized_negative_peak_minus1
6.979166666666666722e-04,-9.990042324546705155e-01
7.083333333333333842e-04,-1.000000000000000000e+00
7.187499999999999879e-04,-9.987950180904526798e-01
7.291666666666666999e-04,-9.953674774623491039e-01
7.395833333333333036e-04,-9.897049812439073779e-01
7.500000000000000156e-04,-9.818046882961140032e-01
7.604166666666666193e-04,-9.716733913868571548e-01
7.708333333333333313e-04,-9.593275292931405795e-01
7.812500000000000434e-04,-9.447931325591949481e-01
7.916666666666666470e-04,-9.281057032751386382e-01
8.020833333333333591e-04,-9.093100298736362941e-01
8.124999999999999627e-04,-8.884599385629583512e-01
8.229166666666666748e-04,-8.656179836162760655e-01
8.333333333333333868e-04,-8.408550793116208455e-01
8.437499999999999905e-04,-8.142500768577296544e-01
8.541666666666667025e-04,-7.858892901415379662e-01
8.645833333333333062e-04,-7.558659745875665470e-01
8.750000000000000182e-04,-7.242797638226550205e-01
8.854166666666666219e-04,-6.912360691870972351e-01
8.958333333333333339e-04,-6.568454474215600358e-01
9.062500000000000460e-04,-6.212229420855563955e-01
9.166666666666666496e-04,-5.844874044257756251e-01
9.270833333333333617e-04,-5.467607995103606067e-01
9.374999999999999653e-04,-5.081675034781711897e-01
9.479166666666666774e-04,-4.688335977210143501e-01
9.583333333333332810e-04,-4.288861657235132907e-01
9.687499999999999931e-04,-3.884525981320958721e-01
9.791666666666665967e-04,-3.476599114149278025e-01
9.895833333333334172e-04,-3.066340852122916294e-01
1.000000000000000021e-03,-2.654994231665915860e-01
1.010416666666666624e-03,-2.243779416678610972e-01
1.020833333333333228e-03,-1.833887905599581314e-01
1.031250000000000049e-03,-1.426477094303488791e-01
1.041666666666666652e-03,-1.022665226587125137e-01
1.052083333333333256e-03,-6.235267593271611591e-02
1.062500000000000076e-03,-2.300881645963804428e-02
1.072916666666666680e-03,1.566758138379944695e-02
1.083333333333333284e-03,5.358454370775723313e-02
1.093750000000000104e-03,9.065587729741181322e-02
1.104166666666666708e-03,1.268014020287848986e-01
1.114583333333333311e-03,1.619471356621182967e-01
1.124999999999999915e-03,1.960254315955064219e-01
1.135416666666666735e-03,2.289750705690378751e-01
1.145833333333333339e-03,2.607413076880566449e-01
1.156249999999999943e-03,2.912758764802169109e-01
1.166666666666666763e-03,3.205369520120560645e-01
1.177083333333333367e-03,3.484890753649386164e-01
1.187499999999999971e-03,3.751030420059157100e-01
1.197916666666666574e-03,4.003557567854808541e-01
1.208333333333333395e-03,4.242300584511749517e-01
1.218749999999999998e-03,4.467145166836778980e-01
1.229166666666666602e-03,4.678032047413095973e-01
1.239583333333333422e-03,4.874954508409138909e-01
1.250000000000000026e-03,5.057955714096739053e-01
1.260416666666666630e-03,5.227125893155161185e-01
1.270833333333333233e-03,5.382599401257761595e-01
1.281250000000000054e-03,5.524551693574246691e-01
1.291666666666666657e-03,5.653196235701634098e-01
1.302083333333333261e-03,5.768781380192059549e-01
1.312500000000000082e-03,5.871587234305758463e-01
1.322916666666666685e-03,5.961922542915450984e-01
1.333333333333333289e-03,6.040121608655107943e-01
1.343749999999999892e-03,6.106541269472828271e-01
1.354166666666666713e-03,6.161557951745165740e-01
1.364583333333333317e-03,6.205564815066993978e-01
1.374999999999999920e-03,6.238969002775009987e-01
1.385416666666666741e-03,6.262189010219286756e-01
1.395833333333333344e-03,6.275652180789592638e-01
1.406249999999999948e-03,6.279792337752478915e-01
1.416666666666666768e-03,6.275047558080101284e-01
1.427083333333333372e-03,6.261858092668655118e-01
1.437499999999999976e-03,6.240664435666535281e-01
1.447916666666666579e-03,6.211905544071212315e-01
1.458333333333333400e-03,6.176017207317878732e-01
1.468750000000000003e-03,6.133430565278152891e-01
1.479166666666666607e-03,6.084570771917695575e-01
1.489583333333333428e-03,6.029855800829126977e-01
1.500000000000000031e-03,5.969695387960763933e-01
1.510416666666666635e-03,5.904490106100673819e-01
1.520833333333333239e-03,5.834630565045449968e-01
1.531250000000000059e-03,5.760496730879054450e-01
